PLYNO,BALANCE,STEP2_END_DATE,ANNUITY_DATE,RATE_CODE,PRODUCT_CODE,EXPENSE_KEY,ANNUITY_TERM,INS_END_DATE,CONTRACT_DATE,BASE_END_BALANCE,TOTAL_MONTHLY_EXP_ACC
282120090000067,2.239545404680424E7,2025-01-01,2044-10-05,00010,LA02821001,20010011407819,20,2064-10-05,2009-01-01,2.239545404680424E7,0.0
282120090000065,2.04945752078841E7,2022-10-05,2022-10-05,00010,LA02821001,20010011407819,42,2064-10-05,2009-10-05,2.04945752078841E7,0.0
282120090000064,2.2201957956837177E7,2025-10-05,2044-10-05,00010,LA02821001,20010011407819,20,2064-10-05,2009-10-05,2.2201957956837177E7,0.0
