PLYNO,FROM_DATE,TO_DATE,BEGIN_BALANCE,INTEREST,ANN_AMOUNT,ANNUAL_EXPENSE,END_BALANCE,FACTOR,YEAR_IDX,REMAIN_YEARS,DISCOUNT_FACTOR
282120090000065,2022-10-05,2022-10-05,2.04945752078841E7,0.0,782567.3237259894,782.5673237259895,1.9711225316834383E7,1.0,1,42,0.9749439407234084
282120090000065,2022-10-05,2023-10-05,1.9711225316834383E7,597984.5727557237,900861.4645586513,900.8614645586514,1.9407447563566897E7,1.0303372602739727,2,41,0.9666505558240697
282120090000065,2023-10-05,2024-10-05,1.9407447563566897E7,589456.1478022801,793727.7551811975,793.7277551811976,1.9202382228432797E7,1.0303726775956283,3,40,0.9742790335151987
282120090000065,2024-10-05,2025-10-05,1.9202382228432797E7,450998.196962913,717817.8094323776,717.8178094323775,1.89348447981539E7,1.0234865753424658,4,39,0.9801999607920016
