PLYNO,NET_BALANCE,STEP1_END_DATE,ANNUITY_DATE,CONTRACT_DATE,RATE_CODE,PRODUCT_CODE,EXPENSE_KEY,ANNUITY_TERM,INS_END_DATE,TOTAL_BALANCE,DED_AMT_LAST
2.8212E+14,"19,524,132",2019-01-01,2044-10-05,2009-01-01,10,LA02821001,2.001E+13,20,2064-10-05,19524132.35,0
2.8212E+14,"1,278,372",2025-10-05,2025-10-05,2021-10-05,10,LA02821001,2.001E+13,42,2064-10-05,1803372.126,525000
2.8212E+14,"19,352,212",2019-10-05,2022-10-05,2009-10-05,10,LA02821001,2.001E+13,42,2064-10-05,19352212.14,0
2.8212E+14,"19,352,212",2019-10-05,2044-10-05,2009-10-05,10,LA02821001,2.001E+13,20,2064-10-05,19352212.14,0
