PLYNO,DEPOSIT_SEQ,DEPOSIT_DATE,PRINCIPAL,FACTOR,BALANCE,STEP1_END_DATE,DED_AMT
282120090000067,2,2009-02-01,136839.0,1.458263611655542,199547.3343553327,2019-01-01,702857.1428571428
282120090000067,3,2009-03-01,136839.0,1.4526198495737535,198775.04759582283,2019-01-01,694285.7142857143
282120090000067,4,2009-04-01,136839.0,1.4464083294275056,197925.06939053044,2019-01-01,685714.2857142857
282120090000067,5,2009-05-01,136839.0,1.4404144378785986,197104.87126486955,2019-01-01,677142.8571428572
282120090000067,6,2009-06-01,136839.0,1.4342377984334147,196259.66609983004,2019-01-01,668571.4285714286
282120090000067,7,2009-07-01,136839.0,1.428277158042412,195444.01802936563,2019-01-01,660000.0
282120090000067,8,2009-08-01,136839.0,1.4221356243997947,194603.6167072435,2019-01-01,651428.5714285715
282120090000067,9,2009-09-01,136839.0,1.4160140682586062,193765.94908643942,2019-01-01,642857.1428571428
282120090000067,10,2009-10-01,136839.0,1.4101100866701815,192958.05414986095,2019-01-01,634285.7142857143
282120090000067,11,2009-11-01,136839.0,1.404024533567846,192125.31314889048,2019-01-01,625714.2857142857
282120090000067,12,2009-12-01,136839.0,1.398048771760076,191307.59587887704,2019-01-01,617142.8571428572
282120090000067,13,2010-01-01,136839.0,1.391896364964994,190465.7066854448,2019-01-01,608571.4285714285
282120090000067,14,2010-02-01,136839.0,1.3859619630567384,189653.64906272103,2019-01-01,600000.0
282120090000067,15,2010-03-01,136839.0,1.3806016172649207,188920.14470491448,2019-01-01,591428.5714285714
282120090000067,16,2010-04-01,136839.0,1.374809028541101,188127.49265653573,2019-01-01,582857.1428571428
282120090000067,17,2010-05-01,136839.0,1.3692188109914567,187362.53287725995,2019-01-01,574285.7142857143
282120090000067,18,2010-06-01,136839.0,1.3634575422406063,186574.16662266233,2019-01-01,565714.2857142857
282120090000067,19,2010-07-01,136839.0,1.3579006990716234,185813.77376026186,2019-01-01,557142.8571428572
282120090000067,20,2010-08-01,136839.0,1.3522801654424845,185044.66555898415,2019-01-01,548571.4285714285
282120090000067,21,2010-09-01,136839.0,1.3466768151435575,184277.90870742928,2019-01-01,540000.0
282120090000067,22,2010-10-01,136839.0,1.341271617595089,183538.26688009436,2019-01-01,531428.5714285715
282120090000067,23,2010-11-01,136839.0,1.3357094017542872,182777.1388266549,2019-01-01,522857.14285714284
282120090000067,24,2010-12-01,136839.0,1.3305515329019593,182071.3412107712,2019-01-01,514285.7142857143
282120090000067,25,2011-01-01,136839.0,1.3254461222497915,181372.72192253923,2019-01-01,505714.2857142857
282120090000067,26,2011-02-01,136839.0,1.3205426423473552,180701.73463616974,2019-01-01,497142.85714285716
282120090000067,27,2011-03-01,136839.0,1.316105248550345,180094.52610638065,2019-01-01,488571.4285714286
282120090000067,28,2011-04-01,136839.0,1.311213383269799,179425.12815325602,2019-01-01,480000.0
282120090000067,29,2011-05-01,136839.0,1.3062879420254945,178751.13569882663,2019-01-01,471428.5714285714
282120090000067,30,2011-06-01,136839.0,1.3011077461112064,178042.28287011138,2019-01-01,462857.1428571429
282120090000067,31,2011-07-01,136839.0,1.2961065976672257,177357.9307181855,2019-01-01,454285.71428571426
282120090000067,32,2011-08-01,136839.0,1.2909511439726598,176652.4635900748,2019-01-01,445714.28571428574
282120090000067,33,2011-09-01,136839.0,1.2858070611448662,175948.55244000236,2019-01-01,437142.8571428571
282120090000067,34,2011-10-01,136839.0,1.2807466871651918,175256.09592499767,2019-01-01,428571.4285714286
282120090000067,35,2011-11-01,136839.0,1.2755322370370852,174542.5557839177,2019-01-01,420000.0
282120090000067,36,2011-12-01,136839.0,1.2705003754309074,173854.00087358995,2019-01-01,411428.5714285714
282120090000067,37,2012-01-01,136839.0,1.2653142300983242,173144.33393242458,2019-01-01,402857.14285714284
282120090000067,38,2012-02-01,136839.0,1.260224499847791,172447.86033467186,2019-01-01,394285.7142857143
282120090000067,39,2012-03-01,136839.0,1.2556193867790304,171817.70126745573,2019-01-01,385714.2857142857
282120090000067,40,2012-04-01,136839.0,1.2505546491538735,171124.6476355669,2019-01-01,377142.85714285716
282120090000067,41,2012-05-01,136839.0,1.2456623063349366,170455.1843365664,2019-01-01,368571.4285714285
282120090000067,42,2012-06-01,136839.0,1.2405221363118244,169751.80861077373,2019-01-01,360000.0
282120090000067,43,2012-07-01,136839.0,1.2355607452985653,169072.89682591037,2019-01-01,351428.5714285714
282120090000067,44,2012-08-01,136839.0,1.230453830633195,168374.07173001577,2019-01-01,342857.14285714284
282120090000067,45,2012-09-01,136839.0,1.225560387661777,167704.4578872499,2019-01-01,334285.7142857143
282120090000067,46,2012-10-01,136839.0,1.2210264820942383,167084.04278329347,2019-01-01,325714.28571428574
282120090000067,47,2012-11-01,136839.0,1.216451259994302,166457.9739663603,2019-01-01,317142.85714285716
282120090000067,48,2012-12-01,136839.0,1.2121262307760998,165866.14129317072,2019-01-01,308571.4285714286
282120090000067,49,2013-01-01,136839.0,1.2076789090482014,165257.57423524684,2019-01-01,300000.0
282120090000067,50,2013-02-01,136839.0,1.2036967935955496,164712.6655388214,2019-01-01,291428.5714285714
282120090000067,51,2013-03-01,136839.0,1.2000991818876472,164220.37195032375,2019-01-01,282857.14285714284
282120090000067,52,2013-04-01,136839.0,1.196229445618078,163690.84110893216,2019-01-01,274285.71428571426
282120090000067,53,2013-05-01,136839.0,1.192490307028396,163179.1811234587,2019-01-01,265714.28571428574
282120090000067,54,2013-06-01,136839.0,1.1886326233778448,162651.2995504009,2019-01-01,257142.85714285716
282120090000067,55,2013-07-01,136839.0,1.184905234926528,162141.24744211117,2019-01-01,248571.42857142858
282120090000067,56,2013-08-01,136839.0,1.1810596509831728,161615.0215808864,2019-01-01,240000.0
282120090000067,57,2013-09-01,136839.0,1.1772201793123696,161089.63211692535,2019-01-01,231428.57142857145
282120090000067,58,2013-10-01,136839.0,1.173510557362037,160582.01115886378,2019-01-01,222857.14285714287
282120090000067,59,2013-11-01,136839.0,1.1696847019190795,160058.48492590492,2019-01-01,214285.7142857143
282120090000067,60,2013-12-01,136839.0,1.1660327946721885,159558.7615901476,2019-01-01,205714.2857142857
282120090000067,61,2014-01-01,136839.0,1.1622627746648195,159042.87582235923,2019-01-01,197142.85714285716
282120090000067,62,2014-02-01,136839.0,1.1585125811266597,158529.703088791,2019-01-01,188571.42857142858
282120090000067,63,2014-03-01,136839.0,1.1550393561345749,158054.43045409909,2019-01-01,180000.0
282120090000067,64,2014-04-01,136839.0,1.151239935176004,157534.52148954922,2019-01-01,171428.57142857142
282120090000067,65,2014-05-01,136839.0,1.1475793944210848,157033.61675318683,2019-01-01,162857.14285714287
282120090000067,66,2014-06-01,136839.0,1.1438489018781213,156523.13988410024,2019-01-01,154285.7142857143
282120090000067,67,2014-07-01,136839.0,1.1402628509106423,156032.4282557614,2019-01-01,145714.2857142857
282120090000067,68,2014-08-01,136839.0,1.1365921191458712,155530.12899180187,2019-01-01,137142.85714285713
282120090000067,69,2014-09-01,136839.0,1.1329927966653357,155037.60130288787,2019-01-01,128571.42857142858
282120090000067,70,2014-10-01,136839.0,1.1296012544622138,154573.50605935487,2019-01-01,120000.0
282120090000067,71,2014-11-01,136839.0,1.1261041623157708,154094.96746712778,2019-01-01,111428.57142857143
282120090000067,72,2014-12-01,136839.0,1.122810437591574,153644.2574695934,2019-01-01,102857.14285714286
282120090000067,73,2015-01-01,136839.0,1.1194108088387922,153179.05567069148,2019-01-01,94285.71428571429
282120090000067,74,2015-02-01,136839.0,1.116087790864811,152724.33721414988,2019-01-01,85714.28571428571
282120090000067,75,2015-03-01,136839.0,1.1131604308723924,152323.76020014728,2019-01-01,77142.85714285714
