PLYNO,FROM_DATE,TO_DATE,BEGIN_BAL,ANNUAL_EXP,MONTHLY_EXP,INTEREST,END_BAL,FACTOR
282120090000064,2019-10-05,2019-11-05,1.9352212143823836E7,19352.21214382384,0.0,33436.33971790424,1.936629627139792E7,1.0017295081967212
282120090000064,2019-11-05,2019-12-05,1.9352212143823836E7,19352.21214382384,0.0,65129.55272065796,1.939798948440067E7,1.0033688524590163
282120090000064,2019-12-05,2020-01-05,1.9352212143823836E7,19352.21214382384,0.0,97879.2061568391,1.943073913783685E7,1.0050628415300547
282120090000064,2020-01-05,2020-02-05,1.9352212143823836E7,19352.21214382384,0.0,130628.85959302024,1.946348879127303E7,1.006756830601093
282120090000064,2020-02-05,2020-03-05,1.9352212143823836E7,19352.21214382384,0.0,161265.63216234653,1.949412556384236E7,1.0083415300546448
282120090000064,2020-03-05,2020-04-05,1.9352212143823836E7,19352.21214382384,0.0,194015.2855985277,1.952687521727854E7,1.0100355191256831
282120090000064,2020-04-05,2020-05-05,1.9352212143823836E7,19352.21214382384,0.0,225708.4986012814,1.9558568430281293E7,1.0116748633879782
282120090000064,2020-05-05,2020-06-05,1.9352212143823836E7,19352.21214382384,0.0,258458.15203745826,1.959131808371747E7,1.0133688524590163
282120090000064,2020-06-05,2020-07-05,1.9352212143823836E7,19352.21214382384,0.0,290151.365040212,1.9623011296720225E7,1.0150081967213114
282120090000064,2020-07-05,2020-08-05,1.9352212143823836E7,19352.21214382384,0.0,322901.01847639313,1.9655760950156406E7,1.0167021857923497
282120090000064,2020-08-05,2020-09-05,1.9352212143823836E7,19352.21214382384,0.0,355650.67191257427,1.9688510603592586E7,1.018396174863388
282120090000064,2020-09-05,2020-10-05,1.9352212143823836E7,19352.21214382384,0.0,387343.884915328,1.9720203816595342E7,1.0200355191256831
282120090000064,2020-10-05,2020-11-05,1.9720203816595342E7,19720.20381659534,0.0,33463.83517787162,1.9733947447956618E7,1.0016986301369863
282120090000064,2020-11-05,2020-12-05,1.9720203816595342E7,19720.20381659534,0.0,65848.19180161692,1.976633180458036E7,1.0033424657534247
282120090000064,2020-12-05,2021-01-05,1.9720203816595342E7,19720.20381659534,0.0,99312.02697948854,1.9799795639758233E7,1.005041095890411
282120090000064,2021-01-05,2021-02-05,1.9720203816595342E7,19720.20381659534,0.0,132775.86215736016,1.9833259474936105E7,1.0067397260273974
282120090000064,2021-02-05,2021-03-05,1.9720203816595342E7,19720.20381659534,0.0,163001.26167285285,1.98634848744516E7,1.0082739726027397
282120090000064,2021-03-05,2021-04-05,1.9720203816595342E7,19720.20381659534,0.0,196465.09685072448,1.989694870962947E7,1.009972602739726
282120090000064,2021-04-05,2021-05-05,1.9720203816595342E7,19720.20381659534,0.0,228849.4534744698,1.9929333066253215E7,1.0116164383561643
282120090000064,2021-05-05,2021-06-05,1.9720203816595342E7,19720.20381659534,0.0,262313.2886523414,1.9962796901431087E7,1.0133150684931507
282120090000064,2021-06-05,2021-07-05,1.9720203816595342E7,19720.20381659534,0.0,294697.6452760867,1.9995181258054834E7,1.014958904109589
